"""Identificador URL""";"Nome";"Categorias";"Nome da varia��o 1";"Valor da varia��o 1";"Nome da varia��o 2";"Valor da varia��o 2";"Nome da varia��o 3";"Valor da varia��o 3";"Pre�o";"Pre�o promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";"Estoque";"SKU";"C�digo de barras";"Exibir na loja";"Frete gratis";"Descri��o";"Tags";"T�tulo para SEO";"Descri��o para SEO";"Marca";"Produto F�sico";"MPN (C�d. Exclusivo, Modelo Fabricante)";"Sexo";"Faixa et�ria";"Custo";"URL image"
"truss-night-spa-serum-de-tratamento-noturno-250ml";"Truss Night Spa - S�rum de Tratamento Noturno 250ml";;;;;;;;"165.00";;"0.25";"0.00";"0.00";"0.00";"3";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-night-spa-serum-de-tratamento-noturno-250ml/1-captura-de-tela-2023-09-23-as-17-25-451-480511b6e2f7706c1116955008878278-1024-1024.webp"
"truss-miracle-summer-uso-obrigatorio-tratamento-reconstrutor-260ml";"Truss Miracle Summer Uso Obrigat�rio - Tratamento Reconstrutor 260ml";;;;;;;;"170.00";;"0.26";"0.00";"0.00";"0.00";"0";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-miracle-summer-uso-obrigatorio-tratamento-reconstrutor-260ml/1-captura-de-tela-2023-09-23-as-17-23-091-b4d9560c041a3d0a6416955007266511-1024-1024.webp"
"truss-uso-obrigatorio-mask-mascara-capilar-180g";"Truss Uso Obrigat�rio Mask - M�scara Capilar 180g";;;;;;;;"165.00";;"0.18";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-uso-obrigatorio-mask-mascara-capilar-180g/1-captura-de-tela-2023-09-23-as-17-18-411-b957a4e753edc4f7fc16955004372955-1024-1024.webp"
"truss-blond-mascara-matizadora-180g";"Truss Blond Mascara Matizadora 180g";;;;;;;;"165.00";;"0.18";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-blond-mascara-matizadora-180g/1-captura-de-tela-2023-09-23-as-17-16-501-7d6028f586b4de817116955003009386-1024-1024.webp"
"truss-infusion-condicionador-300ml";"Truss Infusion - Condicionador 300ml";;;;;;;;"119.00";;"0.30";"0.00";"0.00";"0.00";"0";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-infusion-condicionador-300ml/1-captura-de-tela-2023-09-23-as-17-12-571-150a1481924931c06d16955000307338-1024-1024.webp"
"truss-infusion-shampoo-300ml";"Truss Infusion - Shampoo 300ml";;;;;;;;"109.00";;"0.30";"0.00";"0.00";"0.00";"0";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-infusion-shampoo-300ml/1-captura-de-tela-2023-09-23-as-17-11-311-f8ad5e7ff9d69a618316954999513510-1024-1024.webp"
"truss-blond-hair-condicionador-300ml";"Truss Blond Hair - Condicionador 300ml";;;;;;;;"119.00";;"0.30";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-blond-hair-condicionador-300ml/1-captura-de-tela-2023-09-23-as-17-09-111-4f7a2701e3fee17dcf16954997933967-1024-1024.webp"
"truss-blond-hair-shampoo-300ml";"Truss Blond Hair - Shampoo 300ml";;;;;;;;"109.00";;"0.30";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-blond-hair-shampoo-300ml/1-captura-de-tela-2023-09-23-as-17-05-361-97e611711c3750d11916954996583854-1024-1024.webp"
"truss-ultra-hydration-plus-condicionador-300ml";"Truss Ultra Hydration Plus - Condicionador 300ml";;;;;;;;"119.00";;"0.30";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-ultra-hydration-plus-condicionador-300ml/1-captura-de-tela-2023-09-23-as-17-02-121-00e6cad62331e7c6e316954993985358-1024-1024.webp"
"truss-ultra-hydration-plus-shampoo-300ml";"Truss Ultra Hydration Plus - Shampoo 300ml";;;;;;;;"109.00";;"0.30";"0.00";"0.00";"0.00";"1";;;"SIM";"N�O";;;;;;"SIM";;;;;"https://raw.githubusercontent.com/caiogasparino/get-image-products/refs/heads/main/imagens/truss-ultra-hydration-plus-shampoo-300ml/1-captura-de-tela-2023-09-23-as-16-58-251-29b141c999577d52fd16954992640742-1024-1024.webp"
